Country,Year,male_death_rate,female_death_rate
France,1987,51.7,5.53
France,1988,52.37,5.59
France,1989,52.67,5.73
France,1990,51.93,5.69
France,1991,52.68,5.99
France,1992,52.79,6.03
France,1993,52.94,6.33
France,1994,51.65,6.55
France,1995,52.11,7.01
France,1996,51.81,7.26
France,1997,51.24,7.22
France,1998,52.55,8.12
France,1999,51.82,8.4
France,2000,50.46,8.19
France,2001,49.72,8.49
France,2002,49.26,9.24
France,2003,48.44,9.89
France,2004,48.44,10.14
France,2005,48.66,10.81
France,2006,47.76,11.25
France,2007,47.14,11.29
France,2008,45.92,11.84
France,2009,45.8,12.33
France,2010,44.47,12.36
France,2011,44.02,12.56
France,2012,42.69,13.37
France,2013,41.77,12.78
France,2014,41.41,13.96
France,2015,40.95,13.91
France,2016,39.31,13.8
French Guiana,1968,5.8,0
French Guiana,1969,12.33,0
French Guiana,1970,14.92,0
French Guiana,1971,20.77,0
French Guiana,1972,6.31,0
French Guiana,1973,10.68,5.73
French Guiana,1974,11.29,5.87
French Guiana,1975,10.46,0
French Guiana,1976,36.1,0
French Guiana,1977,8.47,5.63
French Guiana,1978,17.31,0
French Guiana,1979,0,0
French Guiana,2001,24.7,10
French Guiana,2002,17.52,7.78
French Guiana,2003,23.66,2.15
French Guiana,2004,21.66,12.27
French Guiana,2005,15.53,1.67
French Guiana,2006,12.23,3.17
French Guiana,2007,17.27,7.16
French Guiana,2008,14.71,2.65
French Guiana,2009,8.15,6.15
French Guiana,2010,15.99,9.85
French Guiana,2011,7.95,5.57
French Guiana,2012,30.39,8.66
French Guiana,2013,13.34,3.6
French Guiana,2014,20.2,6.24
French Guiana,2015,31.76,8.91
French Guiana,2016,17.74,5.47
Georgia,1981,29.86,5.84
Georgia,1982,29.38,5.79
Georgia,1985,33.08,5.51
Georgia,1986,32.93,5.02
Georgia,1987,32.66,5.35
Georgia,1988,33.93,5.25
Georgia,1989,33.24,4.07
Georgia,1990,31.7,4.68
Georgia,1991,31.85,5.03
Georgia,1992,25.6,4.23
Georgia,1994,20.99,2.66
Georgia,1995,18.19,3.43
Georgia,1996,19.74,3.28
Georgia,1997,22.58,4.26
Georgia,1998,24.9,4.13
Georgia,1999,25.07,3.98
Georgia,2000,26.06,5.12
Georgia,2001,26.72,4.8
Georgia,2004,28.85,5.99
Georgia,2005,19.48,4.44
Georgia,2006,17.66,2.95
Georgia,2007,15.93,2.23
Georgia,2009,24.49,3.66
Georgia,2010,11.93,1.81
Georgia,2011,23.05,3.04
Georgia,2012,25.99,2.96
Georgia,2013,25.62,2.25
Georgia,2014,33.35,3.97
Georgia,2015,35.98,4.28
Georgia,2016,38.97,3.68
Georgia,2017,37.34,4.04
Georgia,2018,39.3,4.99
Georgia,2019,37.76,4.18
Georgia,2020,37.7,5.64
Germany,1990,54.59,8.8
Germany,1991,54.58,9.32
Germany,1992,53.84,9.45
Germany,1993,54,9.89
Germany,1994,52.29,10.25
Germany,1995,52.66,10.33
Germany,1996,50.56,10.52
Germany,1997,49.7,11.02
Germany,1998,49.05,11.47
Germany,1999,47.26,11.51
Germany,2000,47.56,12.05
Germany,2001,45.36,12.12
Germany,2002,44.6,12.55
Germany,2003,43.51,12.71
Germany,2004,42.51,13.09
Germany,2005,41.63,13.75
Germany,2006,40.78,13.83
Germany,2007,40.05,14.21
Germany,2008,39.71,14.71
Germany,2009,38.42,14.76
Germany,2010,37.8,15.15
Germany,2011,37.36,15.79
Germany,2012,36.7,16.05
Germany,2013,37,16.46
Germany,2014,36.03,16.51
Germany,2015,35.13,16.77
Germany,2016,34.45,17.09
Germany,2017,33.11,16.76
Germany,2018,32.3,16.63
Germany,2019,30.99,16.77
Germany,2020,30.49,16.57
Greece,1961,26.48,5.25
Greece,1962,30.78,5.11
Greece,1963,31.05,6.5
Greece,1964,32.15,5.55
Greece,1965,34.21,6.94
Greece,1966,34.22,6.84
Greece,1967,36.66,6.82
Greece,1968,36.97,6.28
Greece,1969,38.17,6.79
Greece,1970,34.84,6.78
Greece,1971,36.63,5.73
Greece,1972,38.12,6.5
Greece,1973,43.37,6.94
Greece,1974,45.82,6.78
Greece,1975,43.46,7.49
Greece,1976,47.25,6.86
Greece,1977,48.34,7.86
Greece,1978,50.36,7.89
Greece,1979,51.15,7.67
Greece,1980,48.15,6.9
Greece,1981,50,6.74
Greece,1982,51.18,7.19
Greece,1983,52.59,6.99
Greece,1984,52.62,7.06
Greece,1985,54.92,7.98
Greece,1986,54.37,7.18
Greece,1987,54.21,7.29
Greece,1988,54.52,7.86
Greece,1989,56.59,7.58
Greece,1990,55.61,8.4
Greece,1991,56.38,8.03
Greece,1992,54.91,7.89
Greece,1993,56.74,7.78
Greece,1994,56.89,7.97
Greece,1995,55.53,8.16
Greece,1996,56.24,8.15
Greece,1997,55.32,8.03
Greece,1998,54.77,8.5
Greece,1999,55.3,7.87
Greece,2000,55.29,8.54
Greece,2001,54.94,8.31
Greece,2002,52.95,8.47
Greece,2003,53.58,8.63
Greece,2004,54.52,8.38
Greece,2005,53.54,8.27
Greece,2006,52.78,8.36
Greece,2007,52.63,8.71
Greece,2008,52.85,9.4
Greece,2009,52.1,9.27
Greece,2010,50.32,9.81
Greece,2011,50.69,9.87
Greece,2012,52.46,10.42
Greece,2013,53.99,11.18
Greece,2014,54.3,10.98
Greece,2015,53.12,11.46
Greece,2016,51.43,11.74
Greece,2017,51.37,11.08
Greece,2018,49.37,11.8
Greece,2019,48.49,11.98
Grenada,1985,6.41,4.31
Grenada,1988,0,0
Grenada,1989,10.21,6.38
Grenada,1990,17.98,3.62
Grenada,1991,0,1.89
Grenada,1992,14.52,9.63
Grenada,1993,16.53,0
Grenada,1994,25.85,5.47
Grenada,1995,16.28,3.47
Grenada,1996,10.63,5.96
Grenada,2001,2.65,1.6
Grenada,2002,13.34,2.8
Grenada,2003,16.29,5.87
Grenada,2004,15.24,2
Grenada,2005,15.46,0
Grenada,2006,27.95,5.85
Grenada,2007,16.96,4.39
Grenada,2008,16.04,2.93
Grenada,2009,10.83,3.13
Grenada,2010,11.65,2.73
Grenada,2011,13.3,4.07
Grenada,2012,9.75,13.86
Grenada,2013,11.75,2.09
Grenada,2014,26.13,5.82
Grenada,2015,10.2,2.77
Grenada,2016,25.35,13.17
Grenada,2017,13.29,4.37
Grenada,2018,11.22,7.17
Guadeloupe,1974,7.96,0.75
Guadeloupe,1981,12.13,2.54
Guadeloupe,2000,19.47,4.45
Guadeloupe,2001,17.56,5.86
Guadeloupe,2002,19.15,5.61
Guadeloupe,2003,15.38,3.75
Guadeloupe,2004,14.33,3.52
Guadeloupe,2005,19.39,4.94
Guadeloupe,2006,14.75,5.14
Guadeloupe,2007,16.82,6.96
Guadeloupe,2008,15.95,6.37
Guadeloupe,2009,12.66,4.98
Guadeloupe,2010,16.3,5.45
Guadeloupe,2011,11.69,5.19
Guadeloupe,2012,11.58,4.41
Guadeloupe,2013,9.99,4.75
Guadeloupe,2014,14.12,3.24
Guadeloupe,2015,12.97,5.58
Guadeloupe,2016,12.94,6.22
Guatemala,1963,1.94,1.48
Guatemala,1964,4.21,1.49
Guatemala,1965,2.81,1.93
Guatemala,1966,1.91,1.2
Guatemala,1967,2.06,1.6
Guatemala,1968,2.69,1.58
Guatemala,1969,3.19,0.6
Guatemala,1970,1.47,0.67
Guatemala,1971,1.71,1.58
Guatemala,1974,2.94,1.77
Guatemala,1975,2.49,1.92
Guatemala,1976,2.49,1.78
Guatemala,1977,2.68,1.47
Guatemala,1978,1.96,1.61
Guatemala,1979,0.48,0
Guatemala,1980,3.03,1.29
Guatemala,1981,3.06,1.08
Guatemala,1984,0.88,2.5
Guatemala,1986,3.28,2.49
Guatemala,1987,3.62,2.93
Guatemala,1988,3.47,2.45
Guatemala,1989,4.2,3.03
Guatemala,1990,4.52,2.72
Guatemala,1991,5.02,2.55
Guatemala,1992,4.08,3.06
Guatemala,1993,3.62,3.48
Guatemala,1994,6.02,4.24
Guatemala,1995,4.67,4.12
Guatemala,1996,3.89,2.79
Guatemala,1997,7.21,4.19
Guatemala,1998,5.9,3.56
Guatemala,1999,6.73,4.59
Guatemala,2000,7.23,4.16
Guatemala,2001,6.61,4.58
Guatemala,2002,6.67,4.42
Guatemala,2003,7.3,4.67
Guatemala,2004,7.09,4.84
Guatemala,2005,7.68,4.69
Guatemala,2006,6.38,4.12
Guatemala,2007,7.13,4.33
Guatemala,2008,6.91,4.21
Guatemala,2009,5.88,4.11
Guatemala,2010,6.11,3.69
Guatemala,2011,4.33,3.62
Guatemala,2012,5.37,2.81
Guatemala,2013,4.92,3.07
Guatemala,2014,4.75,3.31
Guatemala,2015,4.57,2.84
Guatemala,2016,4.72,3.52
Guatemala,2017,4.28,3.2
Guatemala,2018,4.84,3.18
Guatemala,2019,4.79,3.37
Guatemala,2020,4.49,3.45
Guyana,1977,2.94,2.47
Guyana,1984,6.77,1.23
Guyana,1988,9.81,1.77
Guyana,1989,6.63,2.87
Guyana,1990,8.06,2.23
Guyana,1991,9.55,2.54
Guyana,1992,4.56,2.36
Guyana,1993,10.09,2.61
Guyana,1994,5.19,4.15
Guyana,1995,6.21,6.12
Guyana,1996,6.51,3.35
Guyana,1997,7.57,2.81
Guyana,1998,6.66,3.94
Guyana,1999,10.57,1.99
Guyana,2001,12.06,4.95
Guyana,2002,4.28,2.81
Guyana,2003,7.46,2.66
Guyana,2004,5.05,1.65
Guyana,2005,11.01,1.55
Guyana,2006,6.98,4.55
Guyana,2007,4.18,2.23
Guyana,2008,4.97,2.05
Guyana,2009,6.45,2.35
Guyana,2010,8.51,5.26
Guyana,2011,6.01,3.14
Guyana,2012,2.08,1.53
Guyana,2013,9.18,3.73
Guyana,2014,6.04,2.94
Hong Kong,1955,15.26,5.14
Hong Kong,1956,17.45,6.21
Hong Kong,1957,17.86,8
Hong Kong,1958,16.24,7.4
Hong Kong,1959,22.07,8.46
Hong Kong,1960,20.42,12.86
Hong Kong,1961,24.25,11.15
Hong Kong,1962,25.43,12.73
Hong Kong,1963,27.61,14.16
Hong Kong,1964,31.07,15.41
Hong Kong,1965,34.65,17.13
Hong Kong,1966,34.53,19.17
Hong Kong,1967,36.33,20.33
Hong Kong,1968,37.1,19.55
Hong Kong,1969,44.88,21.73
Hong Kong,1970,42.21,20.67
Hong Kong,1971,44.06,23.59
Hong Kong,1972,45.19,22.55
Hong Kong,1973,47.99,23.17
Hong Kong,1974,48.44,22.42
Hong Kong,1975,51.01,25.58
Hong Kong,1976,54.62,27.72
Hong Kong,1977,59.68,26.44
Hong Kong,1978,60.41,26.81
Hong Kong,1979,60.8,27.14
Hong Kong,1980,67.15,25.42
Hong Kong,1981,59.59,26.34
Hong Kong,1982,60.7,28.25
Hong Kong,1983,61.83,24.39
Hong Kong,1984,61.63,27.4
Hong Kong,1985,61.14,27.44
Hong Kong,1986,64.59,28.53
Hong Kong,1987,65.12,28.63
Hong Kong,1988,58.81,27.61
Hong Kong,1989,64.51,26.84
Hong Kong,1990,67.1,27.46
Hong Kong,1991,62.57,27.3
Hong Kong,1992,63.79,28.68
Hong Kong,1993,63.72,27.81
Hong Kong,1994,61.82,24.75
Hong Kong,1995,60.1,23.84
Hong Kong,1996,57.84,23.15
Hong Kong,1997,56.84,22.52
Hong Kong,1998,57.33,23.54
Hong Kong,1999,58.26,22.63
Hong Kong,2000,60.22,22.42
Hong Kong,2001,55.45,22.04
Hong Kong,2002,54.88,21.86
Hong Kong,2003,54.91,20.51
Hong Kong,2004,54.38,20.84
Hong Kong,2005,55.2,20.82
Hong Kong,2006,50.88,19.66
Hong Kong,2007,51.5,18.41
Hong Kong,2008,45.72,19.05
Hong Kong,2009,47.01,18.75
Hong Kong,2010,45.51,18.25
Hong Kong,2011,44.93,18.29
Hong Kong,2012,44.39,18.42
Hong Kong,2013,41.1,18.42
Hong Kong,2014,40.61,17.66
Hong Kong,2015,40.54,18.48
Hong Kong,2016,38.16,15.21
Hong Kong,2017,37.59,15.53
Hungary,1955,22.21,5.83
Hungary,1956,23.94,5.93
Hungary,1957,25.26,6.3
Hungary,1958,25.9,6.7
Hungary,1959,29.71,6.91
Hungary,1960,29.47,7.09
Hungary,1961,32.68,7.43
Hungary,1962,32.47,8.16
Hungary,1963,35.09,8.07
Hungary,1964,35.48,8.53
Hungary,1965,39.36,8.13
Hungary,1966,41.22,8.51
Hungary,1967,42.86,7.97
Hungary,1968,43.9,8.58
Hungary,1969,45.08,8.04
Hungary,1970,44.23,8.54
Hungary,1971,47.87,8.94
Hungary,1972,47.32,8.83
Hungary,1973,48.59,9.87
Hungary,1974,53.5,9.96
Hungary,1975,52.88,9.2
Hungary,1976,55.05,10.09
Hungary,1977,57.12,9.71
Hungary,1978,62.31,11.12
Hungary,1979,64.52,10.56
Hungary,1980,64.56,11.59
Hungary,1981,68.45,11.25
Hungary,1982,70.84,12.24
Hungary,1983,72.38,12.81
Hungary,1984,75.19,12.79
Hungary,1985,74.46,12.97
Hungary,1986,80.49,13.9
Hungary,1987,82.85,15.12
Hungary,1988,80.84,15.21
Hungary,1989,81.54,16.19
Hungary,1990,87.12,17.45
Hungary,1991,87.84,17.73
Hungary,1992,90.92,18.68
Hungary,1993,91.3,20.02
Hungary,1994,92.35,19.38
Hungary,1995,90.76,20.72
Hungary,1996,92.25,22.52
Hungary,1997,91.07,21.79
Hungary,1998,92.23,22.11
Hungary,1999,92.83,23.72
Hungary,2000,91.03,24.13
Hungary,2001,87.07,23.55
Hungary,2002,85.49,24.81
Hungary,2003,87.58,25.25
Hungary,2004,86.76,25.29
Hungary,2005,78.54,24.14
Hungary,2006,78.75,24.6
Hungary,2007,80.77,27.43
Hungary,2008,80.43,28.5
Hungary,2009,80.87,28.76
Hungary,2010,80.72,29.71
Hungary,2011,77.27,30.05
Hungary,2012,77.87,30.72
Hungary,2013,72.37,30.86
Hungary,2014,71.74,31.59
Hungary,2015,69.37,32
Hungary,2016,70.77,30.89
Hungary,2017,67.91,31.8
Hungary,2018,66.85,30.54
Hungary,2019,61.6,30.63
Iceland,1951,7.95,1.17
Iceland,1952,0,4.25
Iceland,1953,7.76,2.8
Iceland,1954,7.34,8.15
Iceland,1955,10.06,0
Iceland,1956,9.86,3.56
Iceland,1957,9.63,6.99
Iceland,1958,8.2,2.33
Iceland,1959,14.22,6.72
Iceland,1960,11.26,13.64
Iceland,1961,10.28,3.41
Iceland,1962,14.51,3.24
Iceland,1963,12.14,3.52
Iceland,1964,15.89,11.46
Iceland,1965,10.74,6.93
Iceland,1966,12.16,9.65
Iceland,1967,22.18,9.92
Iceland,1968,17.54,8.01
Iceland,1969,13.11,12.16
Iceland,1970,17.85,5.85
Iceland,1971,10.53,12.36
Iceland,1972,21.45,12.66
Iceland,1973,14.95,9.65
Iceland,1974,16.66,10.41
Iceland,1975,21.9,13.62
Iceland,1976,18.02,10.25
Iceland,1977,25.68,15.99
Iceland,1978,22.67,12.05
Iceland,1979,27.15,17.65
Iceland,1980,18.7,23.5
Iceland,1981,35.49,25.4
Iceland,1982,32.88,27.86
Iceland,1983,29.48,21.83
Iceland,1984,23.11,18.76
Iceland,1985,33.94,19.12
Iceland,1986,26.35,23.04
Iceland,1987,32.85,22.85
Iceland,1988,33.08,31.15
Iceland,1989,31.21,26.44
Iceland,1990,34.13,24.58
Iceland,1991,40.82,24.59
Iceland,1992,30.65,32.56
Iceland,1993,33.28,27.85
Iceland,1994,28.9,31.17
Iceland,1995,33,23.6
Iceland,1996,39.6,29.47
Iceland,1997,41.28,30.08
Iceland,1998,34.85,27.07
Iceland,1999,37.38,28.21
Iceland,2000,30.43,29.19
Iceland,2001,33.89,26.08
Iceland,2002,28.5,25.24
Iceland,2003,31.14,29.13
Iceland,2004,28.03,30.69
Iceland,2005,38.88,28
Iceland,2006,31.03,30.52
Iceland,2007,36.36,28.05
Iceland,2008,29.24,31.36
Iceland,2009,29,27.45
Iceland,2010,32.12,29.99
Iceland,2011,30.8,27.69
Iceland,2012,29.06,29.69
Iceland,2013,27.39,24.48
Iceland,2014,27.24,25.44
Iceland,2015,18.85,25.43
Iceland,2016,27.68,27.89
Iceland,2017,24.19,20.45
Iceland,2018,22.35,21.28
Iceland,2019,17.43,22.24
Iceland,2020,17.37,20.47
Iran,2013,10.48,4.97
Iran,2014,10.21,4.96
Iran,2015,11.21,5.36
Iran,2016,12.04,5.29
Iraq,2008,12.7,4.57
Iraq,2015,16.01,5.67
Iraq,2016,16.54,6.13
Ireland,1950,10.78,3.27
Ireland,1951,13.36,4.46
Ireland,1952,15.94,5.04
Ireland,1953,17.57,5.03
Ireland,1954,19.11,6.32
Ireland,1955,20.6,5.91
Ireland,1956,23.31,5.26
Ireland,1957,23.44,7.76
Ireland,1958,23.07,6.03
Ireland,1959,26.06,5.76
Ireland,1960,27.84,6.35
Ireland,1961,29.67,6.38
Ireland,1962,30.12,8.45
Ireland,1963,29.38,6.98
Ireland,1964,30.82,7.18
Ireland,1965,33.22,8.34
Ireland,1966,37.16,8.15
Ireland,1967,37.48,9.53
Ireland,1968,41.7,10.57
Ireland,1969,39.3,9.88
Ireland,1970,43.94,11.03
Ireland,1971,43.95,12.58
Ireland,1972,43.34,13.29
Ireland,1973,47.17,12.08
Ireland,1974,48.53,16.13
Ireland,1975,49.36,15.65
Ireland,1976,53.58,15.04
Ireland,1977,51.48,14.96
Ireland,1978,52.29,15.67
Ireland,1979,52.45,17.18
Ireland,1980,50.19,16.47
Ireland,1981,56.48,18.08
Ireland,1982,51.54,18.29
Ireland,1983,56.53,20.5
Ireland,1984,58.37,20.52
Ireland,1985,58.7,19.15
Ireland,1986,58.96,19.46
Ireland,1987,53.18,18.37
Ireland,1988,56.05,21.51
Ireland,1989,54.48,22.53
Ireland,1990,54.04,20.79
Ireland,1991,51.31,19.09
Ireland,1992,52.67,20.57
Ireland,1993,54.51,20.29
Ireland,1994,51.52,21.04
Ireland,1995,50.76,21.16
Ireland,1996,46.63,19.4
Ireland,1997,42.88,18.78
Ireland,1998,46.01,21.13
Ireland,1999,42.71,19.54
Ireland,2000,45.09,21.72
Ireland,2001,42.23,19.29
Ireland,2002,40.89,19.47
Ireland,2003,42.23,20.73
Ireland,2004,41.38,21.58
Ireland,2005,38.14,21.92
Ireland,2006,38.36,21.76
Ireland,2007,39.88,21.08
Ireland,2008,37.72,22.02
Ireland,2009,39.18,21.48
Ireland,2010,34.79,21.11
Ireland,2011,37.53,22.13
Ireland,2012,35.73,20.69
Ireland,2013,34.76,20.98
Ireland,2014,34.04,24.17
Ireland,2015,31.54,20.58
Ireland,2018,27.96,19
Israel,1975,28.74,7.96
Israel,1976,29.3,8.56
Israel,1977,28.59,9.78
Israel,1978,28.17,9.34
Israel,1979,29.35,8.97
Israel,1980,30.28,9.95
Israel,1981,25.87,9.03
Israel,1982,28.2,8.7
Israel,1983,26.67,8.79
Israel,1984,27.34,8.72
Israel,1985,28.58,8.71
Israel,1986,26.81,9.22
Israel,1987,25.95,9.14
Israel,1988,26.3,8.85
Israel,1989,29.22,9.4
Israel,1990,30.71,10.03
Israel,1991,28.55,8.66
Israel,1992,27.57,8.82
Israel,1993,31.74,10.31
Israel,1994,31.56,10.11
Israel,1995,31.01,11.33
Israel,1996,29.58,8.97
Israel,1997,29.35,9.88
Israel,1998,30.06,8.82
Israel,1999,29.85,9.19
Israel,2000,29.69,10.59
Israel,2001,30.18,9.99
Israel,2002,30.79,10.27
Israel,2003,29.13,10.36
Israel,2004,30.86,10.04
Israel,2005,28.14,10.32
Israel,2006,30.54,10.84
Israel,2007,28.9,10.53
Israel,2008,28.65,10.13
Israel,2009,27.73,10.39
Israel,2010,30.83,11.1
Israel,2011,28.23,12.12
Israel,2012,27.42,10.75
Israel,2013,27.97,10.58
Israel,2014,28.1,11.48
Israel,2015,26.85,10.91
Israel,2016,25.81,10.11
Israel,2017,24.1,9.28
Israel,2018,23.79,9.84
Italy,1951,10.25,2.84
Italy,1952,11.58,2.99
Italy,1953,12.98,3.2
Italy,1954,14.9,3.24
Italy,1955,15.71,3.64
Italy,1956,17.78,3.81
Italy,1957,18.93,3.76
Italy,1958,19.73,3.93
Italy,1959,21.16,3.76
Italy,1960,23.01,4.42
Italy,1961,24.32,4.43
Italy,1962,25.93,4.35
Italy,1963,26.97,4.67
Italy,1964,30.18,4.89
Italy,1965,31.5,4.95
Italy,1966,33.08,5.27
Italy,1967,35.18,5.06
Italy,1968,37.73,5.13
Italy,1969,39.9,5.3
Italy,1970,39.78,5.22
Italy,1971,43.05,5.18
Italy,1972,44.26,5.57
Italy,1973,46.36,5.86
Italy,1974,46.76,5.84
Italy,1975,48.26,6
Italy,1976,50.67,6.27
Italy,1977,52.27,6.5
Italy,1978,54.43,6.29
Italy,1979,56.72,6.63
Italy,1980,59.24,6.71
Italy,1981,58.54,6.87
Italy,1982,62.04,7.06
Italy,1983,63.38,7.36
Italy,1984,63.5,7.53
Italy,1985,64.89,7.68
Italy,1986,63.59,8.11
Italy,1987,66.16,8.04
Italy,1988,66.36,8.23
Italy,1989,64.94,8.34
Italy,1990,63.72,8.33
Italy,1991,63.48,8.34
Italy,1992,63.22,9.04
Italy,1993,62.41,8.84
Italy,1994,61.3,8.89
Italy,1995,59.68,9.08
Italy,1996,58.72,9.25
Italy,1997,57.62,9.07
Italy,1998,56.91,9.26
Italy,1999,55.93,9.2
Italy,2000,54.03,9.71
Italy,2001,53.47,9.81
Italy,2002,51.94,10.17
Italy,2003,50.7,9.83
Italy,2004,48.76,10.16
Italy,2005,47.74,10.14
Italy,2006,46.7,10.42
Italy,2007,45.54,10.77
Italy,2008,44.28,10.87
Italy,2009,43.36,11.08
Italy,2010,42.5,11.19
Italy,2011,41.96,11.74
Italy,2012,40.47,11.7
Italy,2013,38.89,11.83
Italy,2014,37.39,11.91
Italy,2015,36.9,12.17
Italy,2016,35.62,12.21
Italy,2017,34.76,12.43
Jamaica,1960,15.57,4.97
Jamaica,1961,15.58,3.95
Jamaica,1965,14.45,4.02
Jamaica,1967,14.26,4.68
Jamaica,1977,19.49,6.5
Jamaica,1980,13.01,3.68
Jamaica,1981,16.35,4.58
Jamaica,1982,21.79,4.99
Jamaica,1983,20.7,4.06
Jamaica,1984,31.96,6.88
Jamaica,1985,20.17,5.21
Jamaica,1986,19.29,4.4
Jamaica,1987,22.42,5.43
Jamaica,1988,20.38,4.54
Jamaica,1989,22.87,5.04
Jamaica,1990,21.02,5.27
Jamaica,1991,21.78,6.13
Jamaica,2000,26.73,4.98
Jamaica,2001,25.78,5.4
Jamaica,2002,19.42,4.29
Jamaica,2003,23.33,5.07
Jamaica,2004,22.85,5.74
Jamaica,2005,25.68,5.56
Jamaica,2006,23.89,6.1
Jamaica,2009,27.76,5.56
Jamaica,2010,20.55,5.48
Jamaica,2011,22.15,6.57
Jamaica,2012,22.57,4.81
Jamaica,2013,22.78,6.24
Jamaica,2014,21.26,6.63
Japan,1950,2.91,1.04
Japan,1951,2.9,1.2
Japan,1952,3.75,1.47
Japan,1953,4.19,1.52
Japan,1954,5.26,1.97
Japan,1955,6.24,2.29
Japan,1956,7.49,2.75
Japan,1957,8.02,2.93
Japan,1958,9.08,3.57
Japan,1959,10.11,3.64
Japan,1960,10.88,3.88
Japan,1961,11.43,4.33
Japan,1962,12.31,4.53
Japan,1963,13.19,4.64
Japan,1964,13.85,4.82
Japan,1965,14.44,5.2
Japan,1966,15.24,5.48
Japan,1967,16.1,5.45
Japan,1968,16.63,5.58
Japan,1969,17.65,5.89
Japan,1970,17.87,5.84
Japan,1971,18.8,5.84
Japan,1972,19.91,6.27
Japan,1973,20.44,6.35
Japan,1974,21.61,6.4
Japan,1975,22.29,6.7
Japan,1976,23.51,7.09
Japan,1977,24.85,7.25
Japan,1978,25.77,7.65
Japan,1979,27.21,7.66
Japan,1980,28.05,8.12
Japan,1981,29.39,8.29
Japan,1982,30.04,8.62
Japan,1983,31.21,8.77
Japan,1984,32.33,9.07
Japan,1985,33,9.03
Japan,1986,32.7,9.08
Japan,1987,34.06,9.28
Japan,1988,34.8,9.44
Japan,1989,35.81,9.63
Japan,1990,35.87,9.31
Japan,1991,36.14,9.58
Japan,1992,36.5,9.88
Japan,1993,36.76,9.71
Japan,1994,37.22,9.91
Japan,1995,37.87,10.07
Japan,1996,38.39,10.21
Japan,1997,37.74,10.07
Japan,1998,37.77,10.2
Japan,1999,37.56,10.08
Japan,2000,37.04,10
Japan,2001,36.44,9.89
Japan,2002,36.24,9.56
Japan,2003,35.4,9.03
Japan,2004,36.14,9.37
Japan,2005,35.75,9.52
Japan,2006,35.31,9.5
Japan,2007,35.28,9.47
Japan,2008,34.91,9.48
Japan,2009,34.11,9.26
Japan,2010,34.13,9.35
Japan,2011,33.54,9.26
Japan,2012,32.97,9.23
Japan,2013,32.55,9.22
Japan,2014,31.93,9.18
Japan,2015,31.52,9
Japan,2016,30.28,8.86
Japan,2017,29.59,8.36
Japan,2018,28.54,8.54
Japan,2019,28.35,8.38
Jordan,2008,19.27,3.17
Jordan,2009,17.37,4.22
Jordan,2010,18.16,4.33
Jordan,2011,19.44,4.04
Jordan,2012,18.32,4.1
Jordan,2015,15.25,5.04
Jordan,2016,16.02,3.63
Jordan,2017,16.43,3.57
Jordan,2018,15.08,4.22
Kazakhstan,1981,59.14,8.59
Kazakhstan,1982,56.56,8.84
Kazakhstan,1985,64.06,9.29
Kazakhstan,1986,67.46,9.72
Kazakhstan,1987,68.56,8.87
Kazakhstan,1988,70.13,10.32
Kazakhstan,1989,73.1,10.47
Kazakhstan,1990,75.62,10.49
Kazakhstan,1991,74.32,10.65
Kazakhstan,1992,74.93,9.63
Kazakhstan,1993,73.25,9.56
Kazakhstan,1994,67.52,9.22
Kazakhstan,1995,68.14,9.26
Kazakhstan,1996,66.15,9.55
Kazakhstan,1997,63.6,9.34
Kazakhstan,1998,66.44,9.04
Kazakhstan,1999,61.02,9.22
Kazakhstan,2000,61.22,8.75
Kazakhstan,2001,56.25,8.53
Kazakhstan,2002,56.36,8.46
Kazakhstan,2003,55.96,8.2
Kazakhstan,2004,52.63,6.96
Kazakhstan,2005,52.12,7.66
Kazakhstan,2006,48.53,7.15
Kazakhstan,2007,49.11,6.29
Kazakhstan,2008,45.66,7
Kazakhstan,2009,45.49,6.44
Kazakhstan,2010,43.47,5.9
Kazakhstan,2011,39.98,6.04
Kazakhstan,2012,39.9,6.05
Kazakhstan,2013,39.94,5.58
Kazakhstan,2014,34.61,5.59
Kazakhstan,2015,33.33,5.16
Kazakhstan,2016,30.97,4.96
Kazakhstan,2017,28.27,4.47
Kazakhstan,2018,27.43,4.15
Kazakhstan,2019,25.45,4.01
Kazakhstan,2020,24.65,4.26
Kuwait,1972,14.57,15.44
Kuwait,1975,21.12,5.85
Kuwait,1976,22.15,3.19
Kuwait,1977,27.75,2.78
Kuwait,1978,23.21,3.32
Kuwait,1979,26.69,8.42
Kuwait,1980,27.96,10.43
Kuwait,1981,18.74,8
Kuwait,1982,32.55,10.39
Kuwait,1983,29.38,8.76
Kuwait,1984,29.21,10.54
Kuwait,1985,32.44,7.52
Kuwait,1986,24.26,8.77
Kuwait,1987,22.17,5.17
Kuwait,1993,14.51,10.51
Kuwait,1994,13.03,6.32
Kuwait,1995,22.09,9.55
Kuwait,1996,20.46,6.23
Kuwait,1997,21.96,12.04
Kuwait,1998,17.84,10.58
Kuwait,1999,12.14,2.91
Kuwait,2000,19.76,6.01
Kuwait,2001,10.79,4.97
Kuwait,2002,13.33,3.7
Kuwait,2003,17.6,7.34
Kuwait,2004,18.6,3.37
Kuwait,2005,12.77,11.51
Kuwait,2006,16.31,9.93
Kuwait,2007,13.51,6.52
Kuwait,2008,9.35,5.6
Kuwait,2009,9.43,4.7
Kuwait,2010,10.46,4.54
Kuwait,2011,10.35,3.36
